filename	listnumber	participant	grammar	fluency	verbosity	structure	success	overall	recipeid	dish	condition	order	experience	time.s	tim.min
list_1.csv	1	participant_0	3	2	5	5	5	2	baked_ziti_5	Baked Ziti	dependency	6	4-5 times per week	1604	26.7333333333333
list_1.csv	1	participant_1	2	1	1	3	3	2	baked_ziti_5	Baked Ziti	dependency	1	1-3 times per month	607	10.1166666666667
list_1.csv	1	participant_2	5	4	6	6	5	5	baked_ziti_5	Baked Ziti	dependency	1	less than once per month	927	15.45
list_1.csv	1	participant_3	2	1	1	5	6	2	baked_ziti_5	Baked Ziti	dependency	6	1-3 times per month	1194	19.9
list_1.csv	1	participant_4	1	3	1	2	2	1	baked_ziti_5	Baked Ziti	dependency	4	4-5 times per week	396	6.6
list_1.csv	1	participant_5	2	1	4	1	5	2	baked_ziti_5	Baked Ziti	dependency	10	almost everyday	638	10.6333333333333
list_1.csv	1	participant_6	1	1	4	2	2	1	baked_ziti_5	Baked Ziti	dependency	2	1-3 times per week	602	10.0333333333333
list_1.csv	1	participant_7	5	3	4	2	3	3	baked_ziti_5	Baked Ziti	dependency	4	1-3 times per week	637	10.6166666666667
list_1.csv	1	participant_8	1	2	4	3	5	2	baked_ziti_5	Baked Ziti	dependency	9	1-3 times per month	896	14.9333333333333
list_1.csv	1	participant_9	3	2	4	3	4	3	baked_ziti_5	Baked Ziti	dependency	1	less than once per month	1106	18.4333333333333
list_1.csv	1	participant_10	1	3	3	4	4	3	baked_ziti_5	Baked Ziti	dependency	3	1-3 times per week	402	6.7
list_1.csv	1	participant_11	1	1	2	2	3	2	baked_ziti_5	Baked Ziti	dependency	9	1-3 times per month	1053	17.55
list_1.csv	1	participant_12	4	2	2	3	5	3	baked_ziti_5	Baked Ziti	dependency	11	1-3 times per week	896	14.9333333333333
list_1.csv	1	participant_13	5	5	5	5	4	4	baked_ziti_5	Baked Ziti	dependency	5	1-3 times per week	618	10.3
list_1.csv	1	participant_14	5	5	5	4	5	4	baked_ziti_5	Baked Ziti	dependency	9	almost everyday	911	15.1833333333333
list_1.csv	1	participant_15	5	5	5	5	6	5	baked_ziti_5	Baked Ziti	dependency	2	almost everyday	1328	22.1333333333333
